Episode,Company ,Idea,Industry,Social Benefit,Tech or not,Deal ,Number of presenters,No of male presenters,No of female presenters,Ask_Amount (INR Lakhs),Ask_Equity,Ask_Valuation (INR Lakhs),Number of Sharks invested,Amount per Shark ,Equity per Shark,Reject_Offer,Receive_Offer,Deal_Amount (INR Lakhs),Deal_Equity,Deal_Valuation ,AshneerGrover_present,AnupamMittal_present,AmanGupta_present,NamitaThapar_present,VineetaSingh_present,PeyushBansal_present,GhazalAlagh_present,AshneerGrover_deal,AnupamMittal_deal,AmanGupta_deal,NamitaThapar_deal,VineetaSingh_deal,PeyushBansal_deal,GhazalAlagh_deal,Season
1,BluePine Industries,Frozen Momos,Food and Bevs,0,0,1,3,2,1,50,5,1000,3,25,5.333333333,0,1,75,16,468.75,1,1,1,1,1,0,0,1,0,1,0,1,0,0,1
1,Booz scooters,Renting e-bike for mobility in private spaces,Transportation,1,1,1,1,1,0,40,15,266.67,2,20,25,0,1,40,50,80,1,1,1,1,1,0,0,1,0,0,0,1,0,0,1
1,Heart up my Sleeves,Detachable Sleeves,Clothing,0,0,1,1,0,1,25,10,250,2,12.5,15,0,1,25,30,83.33,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1
2,Tagz Foods,Healthy Potato Chips,Food and Bevs,0,0,1,2,2,0,70,1,7000,1,70,2.75,0,1,70,2.75,2545.45,1,1,1,1,1,0,0,1,0,0,0,0,0,0,1
2,Head and Heart,Brain Development Course,Education,0,1,0,4,1,3,50,5,1000,0,0,0,NA,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
2,Agro tourism,Tourism,Tourism,1,0,0,2,1,1,50,5,1000,0,0,0,NA,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
3,Qzense Labs,Food Freshness Detector,Technology,1,1,0,2,0,2,100,0.25,40000,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
3,Peeschute,Disposable Urine Bag,Bodycare,1,0,1,1,1,0,75,4,1875,1,75,6,0,1,75,6,1250,1,1,1,1,1,0,0,0,0,1,0,0,0,0,1
3,NOCD,Energy Drink,Food and Bevs,0,0,1,2,2,0,50,2,2500,1,20,15,0,1,20,15,133.33,1,1,1,1,1,0,0,0,0,0,0,1,0,0,1
4,Cosiq,Intelligent Skincare,Personal care,0,0,1,2,1,1,50,7.5,666.67,2,25,12.5,0,1,50,25,200,1,1,1,1,1,0,0,0,1,0,0,1,0,0,1
4,JhaJi Achaar,Pickle,Food and Bevs,0,0,0,2,0,2,50,10,500,0,0,0,NA,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
4,Bummer,Underwear,Clothing,0,0,1,1,1,0,75,4,1875,2,37.5,3.75,0,1,75,7.5,1000,1,1,1,1,1,0,0,0,0,1,1,0,0,0,1
5,Revamp Moto,E-Bike,Transportation,1,1,1,3,3,0,100,1,10000,2,50,0.75,0,1,100,1.5,6666.67,1,1,1,1,1,0,0,0,1,1,0,0,0,0,1
5,Hungry Heads,Restaurant serving 80 types of Maggi,Food and Bevs,0,0,0,2,2,0,50,5,1000,0,0,0,NA,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
5,Shrawani Engineers,Belly Button Shaper,Bodycare,0,0,0,2,1,1,10,20,50,0,0,0,NA,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
6,Skippi Pops,Ice-Pops,Food and Bevs,0,0,1,2,1,1,45,5,900,5,20,3,0,1,100,15,666.67,1,1,1,1,1,0,0,1,1,1,1,1,0,0,1
6,Menstrupedia,Menstrual Awareness Comic,Bodycare,1,0,1,2,1,1,50,10,500,1,50,20,0,1,50,20,250,1,1,1,1,1,0,0,0,0,0,1,0,0,0,1
6,Hecolll,Pollution Resistant Fabric,Clothing,1,0,0,1,0,1,100,1,10000,0,0,0,NA,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
7,Raising Superstars,Child Development App,Education,0,1,0,2,1,1,100,2,5000,2,50,2,0,1,100,4,2500,1,1,1,1,1,0,0,1,0,1,0,0,0,0,1
7,Torch-it,Gadgets for visually impaired people,Healthcare,1,1,1,1,1,0,75,1,7500,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
7,La Kheer Deli,Kheer in variety of flavors,Food and Bevs,0,0,0,3,1,2,50,7.5,666.67,0,0,0,1,1,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,1
8,Beyond Snack,Kerala Banana Chips,Food and Bevs,0,0,1,1,1,0,50,2.5,2000,2,25,1.25,0,1,50,2.5,2000,1,1,1,1,0,1,0,1,0,1,0,0,0,0,1
8,Vivalyf Innovations- Easy Life,Prickless Diabetes Testing Machine,Healthcare,1,1,1,4,2,2,56,7.5,746.67,2,28,16.65,0,1,56,33.3,168.17,1,1,1,1,0,1,0,0,1,0,0,0,1,0,1
8,Motion Breeze,Smart Electric Motorcycle,Transportation,1,1,1,4,4,0,30,3,1000,1,30,6,0,1,30,6,500,1,1,1,1,0,1,0,1,0,0,0,0,0,0,1
9,Altor,Smart Helmets,Transportation,1,0,1,4,4,0,50,5,1000,2,25,3.5,0,1,50,7,714.29,1,1,1,1,0,1,0,0,0,1,1,0,0,0,1
