Series or Movie,IMDb Score,Rotten Tomatoes Score,Awards Received,Awards Nominated For,Boxoffice,Hidden Gem Score
Series,7.9,98,74,57,2122065,4.3
Movie,5.8,79,1,0,70632,7
Movie,6.2,20,0,1,20578909,2
Movie,8.4,68,112,228,335451311,3.5
Movie,6.5,52,26,69,474544677,2.8
Movie,8.1,96,46,94,381409310,4.4
Movie,8.1,89,23,8,17676,6.7
Movie,7,85,1,1,6678894,3.8
Movie,6.2,51,0,0,975000,7.1
Movie,6.9,61,0,0,148504,6.2
Movie,6.5,90,0,0,145625,8
Series,6.6,75,1,7,7331647,3.5
Movie,7.7,89,19,14,54766923,4.2
Movie,7.5,94,5,7,31747,8.9
Movie,6.7,30,0,0,378294,3.1
Movie,8.1,91,5,11,52287414,4.1
Movie,6.2,68,1,33,1060377,3.6
Movie,7.5,77,0,1,75134,8.4
Movie,7,86,0,3,2110589,6.4
Movie,6.3,91,2,9,115252,6.3
Movie,7.1,82,7,27,1565885,5.4
Movie,6.6,78,3,6,203775,8.1
Movie,6.5,73,0,0,179045,8.2
Movie,6.5,44,4,12,75395035,2.6
Movie,6.8,93,2,3,332432,7.9
Movie,7,72,4,19,90380162,3.4
Movie,6.6,97,2,1,139270,7.8
Movie,6.1,40,2,1,249083,2.5
Movie,6.1,35,0,4,32063435,2.4
Movie,6.9,98,2,3,129000,4.2
Movie,6.6,46,0,7,35188640,2.6
Series,5.7,20,1,0,13023075,4.7
Movie,6.2,36,0,1,19204929,2.3
Movie,7.5,82,13,7,438483,7
Movie,6.5,64,0,2,182163,6.8
Movie,6.5,69,3,1,250899,7.3
Movie,5.7,43,0,2,44235,3.7
Movie,7.7,93,5,0,43839,5.7
Movie,6.5,60,9,18,186336279,3
Series,7.2,78,1,11,2223961,3.8
Movie,7.2,84,9,0,544472,7.9
Movie,6.8,96,9,20,1146292,8.7
Movie,6.5,52,26,69,474544677,2.8
Movie,6.8,59,11,20,258106,2.8
Movie,6.5,63,2,6,148974665,2.9
Movie,5.9,59,4,19,13782,6.9
Movie,8.3,93,37,70,613308,4.2
Movie,7.1,85,14,21,11137,3.6
Series,6.5,52,26,69,474544677,2.8
Movie,7,88,8,19,6330054,4
Series,6.4,51,0,0,11585483,2.8
Movie,5.7,30,0,1,22189039,2.2
Movie,5.9,72,10,23,46347,5.6
Movie,7.7,100,0,3,12897,8.3
Movie,7,98,19,26,17788,7.8
Series,7.7,95,1,1,142425,4
Movie,7,74,3,2,1151330,3.5
Movie,4.7,43,0,0,245034,5.3
Movie,6,12,0,2,14551359,1.9
Movie,7.4,97,23,26,42310,8.5
Series,6.9,53,2,5,59489799,3
Movie,7.6,84,14,39,1658790,4
Movie,6,44,0,2,5958315,2.6
Movie,8.1,92,10,22,26010864,4.2
Movie,7.6,92,1,2,5063,7.2
Movie,7.4,100,1,0,5063,8.1
Movie,6.1,71,0,3,441366,4.3
Movie,4.9,46,0,4,14051384,2.4
Movie,7.1,99,11,17,44330,8
Movie,6.7,64,0,1,104732,6.7
Movie,6.6,76,0,3,718956,5.7
Movie,7.4,74,5,6,44133,6.6
Movie,6.5,59,3,9,46083,3.1
Movie,5.8,66,0,1,642157,4.9
Movie,7.6,96,6,19,2092682,4.9
Movie,5.8,82,5,15,1225852,3.6
Series,7.8,68,9,10,15530,3.5
Movie,6.8,59,0,1,2949212,4
Movie,7.6,85,10,15,36001502,3.8
Movie,6.4,78,1,12,180946,8.3
Movie,6.5,98,3,11,10128,8.4
Movie,6.8,81,23,61,24313888,3.6
Movie,6.2,94,1,4,10452,3.9
Movie,6.7,91,5,13,6980524,3.9
Series,6.3,50,0,4,19551067,2.8
Movie,6.7,95,6,12,28354,8.5
Movie,5.9,50,0,0,2119994,6.8
Movie,7.2,94,27,22,4507,4.2
Movie,6.3,73,1,2,21366,7.6
Movie,5.4,60,0,0,2001124,5.3
Movie,7.5,85,7,9,11650,8.2
Movie,5.2,64,0,0,14567,4
Movie,6.9,83,1,0,475611,5.8
Movie,6.8,74,2,8,3493000,3.3
Movie,6.4,50,0,0,5519569,6.6
Movie,7.5,88,7,8,1111790,4.1
Movie,7.5,95,1,1,8362,8.7
Movie,5,6,1,8,35093569,1.4
Movie,7.3,63,6,4,83482352,2.8
Series,6.4,71,0,0,246000,7.9
Series,7,71,3,8,53883989,3.2
Movie,8.1,96,16,46,164615351,4.2
Movie,5.7,25,0,0,1640220,6.3
Movie,5.4,80,0,0,112386,7.9
Movie,6.5,52,0,0,42472,2.7
Movie,7.3,74,4,5,2701859,3.5
Movie,7.1,75,8,11,1124966,3.4
Movie,7.1,97,0,2,2313596,7.8
Movie,7.3,86,8,47,328828874,3.8
Series,7.4,69,43,136,34302837,3.5
Movie,4.8,11,4,0,11438337,1.5
Movie,7.7,85,6,14,370720,4.1
Movie,5.9,29,1,2,17768757,2
Movie,6.6,89,3,7,22231658,3.7
Movie,7,81,4,22,60826390,3.5
Movie,5.8,38,0,0,47410827,2.3
Movie,6,34,3,5,67343,6.6
Movie,3.7,24,1,0,549602,1.2
Movie,6.1,85,4,2,60477943,3.5
Movie,5.3,28,1,3,5437971,2.1
Movie,6.4,76,7,31,200676069,3.4
Movie,6.4,76,7,31,200676069,3.4
Movie,8.9,92,70,75,107928762,4.6
Series,6.7,91,4,13,332890,3.9
Movie,7,76,21,11,1072834,6.3
Movie,7,81,16,20,56878,7.5
Movie,6.8,72,4,21,14044,3.3
Movie,5.8,46,0,0,8345845,4.2
Movie,7,87,11,23,3143056,3.9
Movie,5.9,30,0,0,25916319,2.1
Movie,6.4,64,4,7,391963,3.1
Movie,6.6,62,0,1,300460,3.1
Movie,5.6,80,4,4,2405285,7.4
Movie,6,79,6,13,33817,4.6
Movie,6.6,91,3,1,13793,8.1
Movie,6.9,91,18,94,42402632,4.1
Movie,5.8,75,4,4,1814193,3.2
Movie,6.5,53,0,1,14683921,5.5
Movie,6.2,79,0,0,29118,6.4
Movie,6.5,72,0,1,1700000,2.7
Series,6.5,52,26,69,474544677,2.8
Movie,6.8,63,2,15,9277736,3.2
Movie,6.3,73,0,0,500000,6.1
Movie,6.6,40,0,3,241916,6.9
Movie,6.1,78,5,38,84158461,3.3
Movie,5.6,7,1,0,1349,1.6
Movie,7,88,10,21,2856954,3.8
Movie,6.7,44,1,11,51872378,2.7
Movie,5.4,98,2,18,182799,8.2
Movie,5.7,26,1,5,48546770,2
Movie,6.1,84,0,4,39014193,3.4
Movie,6.4,42,1,8,105813373,2.5
Series,6.8,38,1,3,113067,5.1
Movie,6.5,78,2,6,4077333,4.3
Movie,8.1,87,64,187,167767189,4.1
Movie,6,80,0,0,4810790,3.5
Series,6.3,83,3,12,107918810,3.6
Movie,6.9,85,2,9,86888546,3.9
Movie,6.6,73,23,50,43082155,3.4
Movie,5.6,14,1,1,77047065,1.6
Series,6.1,40,2,1,249083,2.5
Movie,6.2,95,8,13,3232685,4.6
Movie,6.6,92,1,0,21095638,3.7
Movie,7.8,96,44,46,551509,4.2
Series,7.8,68,9,10,15530,3.5
Movie,7.2,96,4,14,2078661,6.6
Movie,6.7,74,2,7,4467615,6.1
Movie,6.2,57,2,5,371784,2.9
Movie,7.4,83,11,7,405331,8.6
Movie,7.2,100,2,2,18344729,4.2
Movie,6.4,38,2,1,30348555,2.5
Movie,6.5,52,26,69,474544677,2.8
Movie,8.3,89,123,180,159227644,4.2
Movie,5.5,30,4,26,82786,7
Series,7.3,96,96,97,56441711,4.3
Movie,6.5,52,26,69,474544677,2.8
Movie,7.7,100,1,1,21907,9.2
Movie,4.6,10,0,0,12611536,1.4
Movie,7.5,70,0,0,1436900,3.5
Movie,5.5,60,0,0,98297,6.7
Movie,5.7,20,1,0,13023075,4.7
Movie,7.3,94,10,37,3012615,4
Series,8.1,97,124,143,45055776,4.5
Movie,6.8,81,23,61,24313888,3.6
Movie,4.5,12,0,7,73257045,4.7
Series,8.3,97,20,23,85160248,4.4
Movie,6.5,52,26,69,474544677,2.8
Movie,7.4,97,2,8,448542,7
Movie,6.4,96,15,26,94757,8
Movie,7,36,1,2,13843771,2.6
Movie,7.6,97,47,167,27007844,4.4
Movie,7.6,97,47,167,27007844,4.4
Movie,7.6,97,47,167,27007844,4.4
Movie,7.6,97,47,167,27007844,4.4
Movie,7.6,97,47,167,27007844,4.4
Series,6.6,40,0,0,1783421,3.7
Series,7.1,85,14,21,11137,3.6
Movie,4.6,13,0,1,4159986,4.2
Movie,8.2,67,56,4,754819,3.7
Movie,6.7,85,3,22,12638526,3.8
Movie,6.8,85,9,15,800148,3.9
Movie,7.5,90,32,131,10867104,4.1
Movie,6.5,47,1,0,35150750,2.7
Movie,7.2,78,1,11,2223961,3.8
Movie,7.2,92,17,34,1635117,4.1
Series,6.9,62,8,21,13848978,3.2
Movie,6.6,52,18,31,206040086,2.9
Movie,6.6,64,4,32,168368427,3.1
Movie,5.6,49,3,0,6490401,5.7
Movie,6.6,53,0,4,19696,6.2
Movie,6.1,80,1,10,3911,6.3
Movie,6.5,50,0,0,3392080,5.2
Movie,7.1,91,1,1,47696,4.1
Movie,5.6,25,0,1,20783704,1.9
Movie,7.2,61,7,4,9709597,2.7
Movie,7.1,48,0,1,43545364,2.9
Movie,7.4,64,19,5,9481,4.3
Movie,6.6,72,1,16,71158,6.1
Series,6.6,59,5,5,67659560,3.1
Series,6.4,29,0,0,7712114,2
Movie,6.6,63,0,4,17156058,3.1
Movie,7.2,86,10,23,58406347,3.6
Movie,6.5,52,26,69,474544677,2.8
Movie,8.6,98,300,262,53369749,4.7
Movie,6.5,31,0,0,5979540,2.5
Movie,6.6,52,18,31,206040086,2.9
Movie,7.2,78,1,11,2223961,3.8
Series,7.3,87,2,4,31424003,3.8
Movie,6.3,87,22,71,104963598,3.8
Movie,7.4,97,7,9,511350,4.2
Movie,6.7,62,6,34,12712093,3.3
Movie,3.9,16,0,1,9974410,1.7
Movie,6.8,79,0,4,344534,6.4
Movie,7.1,22,7,22,1514558,2.3
Movie,7.3,82,5,15,1988546,3.6
Movie,6.3,73,8,11,150157400,3.4
Movie,7.3,75,4,0,9000000,3.7
Movie,7.2,65,35,133,47836282,3.3
Movie,5.8,78,0,1,97655,8.2
Movie,6.2,44,1,3,102982,6.2
Movie,7.6,73,6,13,24633730,3.6
Movie,6.2,86,1,3,1361611,3.6
Movie,8.4,68,112,228,335451311,3.5
Movie,7.3,78,7,29,31581712,3.5
Movie,5.6,62,0,0,464275,5.7
Series,7,66,3,24,202359711,3.3
Movie,8,77,38,54,74103820,3.9
Movie,7.6,95,21,16,20457151,4
Movie,6.1,32,0,1,24403552,2.1
Movie,5.7,13,0,0,19684,2.2
Movie,7.9,97,43,98,165363234,4.3
Movie,7,90,12,7,1365,8
Series,7.2,78,1,11,2223961,3.8
Movie,7.3,86,25,34,400209,3.9
Movie,4.6,57,0,4,13113041,2.8
Movie,6.6,53,0,2,28539757,2.8
Movie,5.5,13,0,0,11528613,5.7
Series,6.6,27,1,2,34105207,2.3
Movie,5.9,40,2,10,110359362,2.5
Movie,6.6,77,2,12,206305244,3.4
Movie,3.3,27,1,7,3793614,1.7
Movie,7.1,90,0,1,36527,7.9
Movie,6.8,98,3,9,375391,7.5
Movie,6.7,44,1,11,51872378,2.7
Movie,7.2,50,17,14,199228,2.5
Movie,5.6,37,3,17,131921738,2.3
Movie,7.7,81,21,15,124872350,3.8
Movie,6.2,49,0,0,36895,2.6
Movie,7.3,86,8,47,328828874,3.8
Series,7,84,7,15,166244045,3.8
Movie,7.5,96,0,2,910015,4.1
Movie,5.5,68,0,3,305136,6
Movie,5.7,76,0,5,9318,3.3
Movie,7,84,12,10,3956031,3.6
Movie,7.7,77,5,20,1304042,3.7
Movie,4.5,7,0,1,4842259,3.5
Movie,6.9,93,3,2,15152,8.6
Movie,6.4,20,0,0,46382,5.9
Movie,7.5,100,15,5,8345266,4.3
Movie,7.5,94,1,2,1581681,8.4
Movie,5.5,56,1,7,3502600,2.8
Movie,5.3,30,1,0,10854,3.1
Series,6.5,52,26,69,474544677,2.8
Movie,6.3,37,1,0,1315498,2.6
Movie,6,24,1,0,169710,6.1
Movie,6.2,86,5,10,765561,3.6
Series,7.8,69,3,9,15322921,3.4
Movie,6.8,80,0,1,44745,3.6
Movie,6.3,28,0,0,14815317,2.3
Movie,7.1,73,6,15,68723,3.6
Movie,5.1,72,2,5,8297,4.1
Movie,7.3,93,34,23,576608,6.3
Movie,7.8,95,74,205,108101214,4.4
Movie,6.2,63,11,19,71628180,3
Movie,6.7,58,1,1,14182492,2.9
Movie,6.6,62,0,1,300460,3.1
Movie,7,88,25,86,7751969,4
Series,6.8,29,7,22,119654823,2.5
Series,5.8,67,2,1,9685976,5.4
Movie,7.2,92,6,3,33312,8.7
Movie,5.9,67,1,13,70334258,2.9
Movie,6.9,72,3,31,143619809,3.4
Movie,8,100,30,13,67986,8.4
Movie,5.3,1,1,0,25198598,1.3
Movie,6,76,1,4,2716368,3.3
Movie,5.7,34,0,1,95318203,2.1
Movie,7.8,95,6,5,148666,8.6
Movie,7.1,78,2,2,2087228,4.6
Movie,5.9,74,1,4,2005142,3.1
Movie,6.8,93,0,2,16080,7.9
Series,7,67,0,10,122094,7.5
Movie,7.7,89,19,14,54766923,4.2
Movie,7,72,4,19,90380162,3.4
Movie,5.1,10,0,0,23086480,1.4
Movie,7.3,81,48,30,158549,3.6
Movie,4.3,25,0,0,42603,5.9
Series,7.3,86,8,47,328828874,3.8
Movie,6.6,71,1,8,320314960,3.2
Movie,6.1,59,2,2,83015089,3
Movie,6.8,64,1,15,73286650,3.1
Movie,6.2,77,4,5,68947075,3.3
Movie,6.3,24,0,0,5332621,2.1
Movie,6.4,70,2,3,43756,7.3
Movie,7.1,78,2,4,48752,7.7
Movie,7.5,100,0,0,5063,8.3
Movie,7.6,70,86,175,148809770,3.5
Movie,7,84,7,24,191719337,3.8
Movie,7.6,96,1,0,72078,7.2
Movie,8.5,93,36,33,205881154,4.2
Movie,5.2,23,1,2,17687709,1.7
Movie,8.5,93,36,33,205881154,4.2
Movie,8.2,98,61,95,415004880,4.5
Movie,7,81,11,70,127004179,3.7
Movie,6.6,33,0,1,7743794,2.3
Movie,6.6,67,1,3,1828784,5.6
Movie,5.6,55,1,5,45896028,2.7
Movie,7.3,92,17,51,4515719,4.1
Movie,7,70,10,22,238679850,3.3
Movie,6.7,80,2,7,83140306,3.5
Movie,6.7,84,0,5,2410914,3.6
Movie,6.7,41,0,1,56846802,2.6
Movie,5.4,26,0,0,291477,5.1
Movie,5.2,75,2,3,6024,6.6
Movie,7.2,78,1,11,2223961,3.8
